region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49.0
Australia,Historical,EV sales share,Cars,EV,2011,percent,0.0065
Australia,Historical,EV stock share,Cars,EV,2011,percent,0.00046
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0
Australia,Historical,EV stock share,Cars,EV,2012,percent,0.0028
Australia,Historical,EV sales share,Cars,EV,2012,percent,0.03
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220.0
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80.0
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100.0
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180.0
Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410.0
Australia,Historical,EV sales share,Cars,EV,2013,percent,0.034
Australia,Historical,EV stock share,Cars,EV,2013,percent,0.0054
Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0
Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370.0
Australia,Historical,EV stock share,Cars,EV,2014,percent,0.017
Australia,Historical,EV sales share,Cars,EV,2014,percent,0.16
Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780.0
Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100.0
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950.0
Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000.0
Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100.0
Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500.0
Australia,Historical,EV sales share,Cars,EV,2015,percent,0.2
Australia,Historical,EV stock share,Cars,EV,2015,percent,0.032
Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760.0
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670.0
Australia,Historical,EV stock share,Cars,EV,2016,percent,0.043
Australia,Historical,EV sales share,Cars,EV,2016,percent,0.15
Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200.0
Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800.0
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700.0
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100.0
Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200.0
Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0
Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400.0
Australia,Historical,EV sales share,Cars,EV,2017,percent,0.26
Australia,Historical,EV stock share,Cars,EV,2017,percent,0.061
Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,40.0
Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,440.0
Australia,Historical,EV charging points,EV,Publicly available fast,2018,charging points,61.0
Australia,Historical,EV charging points,EV,Publicly available slow,2018,charging points,670.0
Australia,Historical,EV stock share,Cars,EV,2018,percent,0.089
Australia,Historical,EV sales share,Cars,EV,2018,percent,0.42
Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200.0
Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0
Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800.0
Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800.0
Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900.0
Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300.0
Australia,Historical,EV stock,Cars,PHEV,2019,Vehicles,8600.0
Australia,Historical,EV stock,Cars,BEV,2019,Vehicles,12000.0
Australia,Historical,EV sales share,Cars,EV,2019,percent,1.2
Australia,Historical,EV stock share,Cars,EV,2019,percent,0.16
Australia,Historical,EV charging points,EV,Publicly available fast,2019,charging points,250.0
Australia,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1700.0
Australia,Historical,EV charging points,EV,Publicly available fast,2020,charging points,350.0
Australia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2000.0
Australia,Historical,EV stock share,Cars,EV,2020,percent,0.22
Australia,Historical,EV sales share,Cars,EV,2020,percent,1.1
Australia,Historical,EV stock,Cars,BEV,2020,Vehicles,17000.0
Australia,Historical,EV stock,Cars,PHEV,2020,Vehicles,10000.0
Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200.0
Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,1700.0
Australia,Historical,EV sales,Cars,PHEV,2021,Vehicles,3400.0
Australia,Historical,EV sales,Cars,BEV,2021,Vehicles,17000.0
Australia,Historical,EV stock,Cars,PHEV,2021,Vehicles,14000.0
Australia,Historical,EV stock,Cars,BEV,2021,Vehicles,34000.0
Australia,Historical,EV sales share,Cars,EV,2021,percent,2.8
Australia,Historical,EV stock share,Cars,EV,2021,percent,0.39
Australia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,320.0
Australia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2000.0
Australia,Historical,EV charging points,EV,Publicly available fast,2022,charging points,470.0
Australia,Historical,EV charging points,EV,Publicly available slow,2022,charging points,2100.0
